一	m
櫻	dbcv
欄	danw
權	dtrg
欖	dswu
欠	no
次	mmno
欣	hlno
欲	crno
款	gfno
欺	tcno
欽	cno
歇	avno
歉	tcno
歌	mrno
歐	srno
歙	omno
歟	hcno
歡	tgno
止	ylm
正	mylm
此	ymp
步	ylmh
武	mpylm
歧	ymje
歪	mfmym
歲	ymihh
歷	mhdm
歸	hmsmb
歹	mni
死	mnp
歿	mnne
殃	mnlbk
殆	mnir
殊	mnhjd
殉	mnpa
殘	mnii
殖	mnjbm
殤	mnoah
殮	mnomo
殯	mnjmc
殲	mnoim
段	hjhne
殷	hshne
殺	kchne
殼	gnhne
毀	hghne
殿	schne
毅	yohne
毆	srhne
毋	wjh
母	wyi
每	owyi
毒	qmwyi
毓	oyyiu
比	pp
毗	wpp
毛	hqu
毫	yrbu
毯	huff
毽	hunkq
氏	hvp
民	rvp
氐	hpm
氓	yvrvp
氖	onnhs
氛	oncsh
氟	onlln
氣	onfd
氧	ontq
氨	onjv
氦	onyvo
氤	onwk
氫	onmvm
氮	onff
氯	onvne
氳	onwot
水	e
永	ine
汁	ej
汀	emn
氾	esu
求	ije
汝	ev
汗	emj
汙	emd
江	em
池	epd
汐	eni
汕	eu
汞	me
沙	efh
沁	ep
沈	elbu
沉	ebhu
沅	emmu
沛	eylb
汪	emg
決	edk
沐	ed
汰	eki
沌	epu
汨	ea
沖	el
沒	ene
汽	eomn
沃	ehk
汲	enhe
汾	ecsh
泣	eyt
注	eyg
泳	eine
沱	ejp
泌	eph
泥	esp
河	emnr
沽	ejr
沾	eyr
沼	eshr
波	edhe
沫	edj
法	egi
泓	eni
沸	elln
泄	ept
油	elw
況	erhu
沮	ebm
泗	ewc
泅	ewo
泱	elbk
沿	ecr
治	eir
泡	epru
泛	ehio
泊	eha
泉	hae
泰	qke
洋	etq
洲	eill
洪	etc
流	eyiu
津	elq
洌	emnn
洱	esj
洞	ebmr
洗	ehgu
活	ehjr
洽	eomr
派	ehhv
洶	epuk
洛	eher
浪	eiav
涕	ecnh
消	efb
涇	emvm
浦	eijb
浸	esme
海	eowy
浙	eqhl
涓	erb
浬	ewg
涉	eylh
浮	ebnd
浚	eice
浴	ecor
浩	ehgr
涎	enkm
涼	eyrf
淳	eyrd
淙	ejmf
液	eyok
淡	eff
淌	efbr
淤	eysy
添	ehkp
淺	eii
清	eqmb
淇	etmc
淋	edd
涯	emgg
淑	eyfe
涮	esbn
淞	edci
淹	eklu
涸	ewjr
混	eapp
淵	elxl
淅	edhl
淒	ejlv
渚	ejka
涵	eune
淚	ehsk
淫	ebhg
淘	epou
淪	eomb
深	ebcd
淮	eog
淨	ebsd
淆	ekkb
淄	evvw
港	etcu
游	eysd
湔	etbn
渡	eite
渲	ejmm
湧	enbs
湊	eqkk
渠	esd
渥	esmg
渣	edam
減	eihr
湛	etmv
湘	edbu
渤	ejds
湖	ejrb
湮	emwg
渭	ewb
渦	ebbr
湯	eamh
渴	eapv
湍	eumb
渺	ebuh
測	ebcn
湃	ehqj
渝	eomn
渾	ebjj
滋	etvi
溉	eaiu
渙	enbk
溢	etct
溯	etub
滓	ejyj
溶	ejcr
滂	eybs
源	emhf
溝	ettb
滇	ejbc
滅	eihf
溥	eibi
溘	egit
溼	emvg
溺	enmm
溫	ewot
滑	ebbb
準	egj
溜	ehhw
滄	eoir
滔	ebhx
溪	ebvk
漳	eytj
演	ejmc
滾	eycv
漓	eyub
滴	eycb
漩	eyso
漾	etge
漠	etak
漬	eqmc
漏	esmb
漂	emwf
漢	etlo
滿	etlb
滯	ekpb
漆	edoe
漱	edlo
漸	ejjl
漲	ensv
漣	eyjj
漕	etwa
漫	eawe
漯	ewvf
澈	eybk
漪	ekhr
滬	ehsu
漁	enwf
滲	eiih
滌	eold
漿	vie
潼	eytg
澄	enot
潑	enoe
潦	ekcf
潔	eqhf
澆	eggu
潭	emwj
潛	emua
潸	eddb
潮	ejjb
澎	egth
潺	esnd
潰	elmc
潤	eang
澗	eana
潘	ehdw
濂	eitc
澱	esce
澡	errd
濃	etwv
澤	ewlj
濁	ewli
澧	etwt
澳	ehbk
激	ehsk
澹	encr
濘	ejpn
濱	ejmc
濟	eyx
濠	eyro
濛	etbo
濤	egni
濫	esmt
濯	esmg
澀	esim
濬	eybu
濡	embb
瀉	ejhf
瀋	ejhw
濾	eypp
瀆	egwc
濺	ebci
瀑	eate
瀏	ehcn
瀛	eynv
瀟	etlx
瀨	edlc
瀚	ejjm
瀝	emhm
瀕	eyhc
瀾	eanw
瀰	enmb
灌	etrg
灑	emmp
灘	etog
灣	evfn
灤	evfd
火	f
灰	kf
灶	fg
灼	fpm
災	vvf
灸	nof
炕	fyhn
炎	ff
炒	ffh
炊	fno
炙	bf
炫	fyvi
為	iknf
炳	fmob
炬	fss
炯	fbr
炭	umf
炸	fos
炮	fpru
烊	ftq
烘	ftc
烤	fjks
烙	fher
烈	mnf
烏	hryf
烹	yrnf
焉	mylf
焊	famj
烽	fhej
焙	fytr
焚	ddf
焦	ogf
焰	fnhx
無	otf
然	bkf
煮	jaf
煎	tbnf
煙	fmwg
煩	fmbc
煤	ftmd
煉	fdwf
照	arf
煜	fayt
煬	famh
煦	arf
煌	fhag
煥	fnbk
煞	nkf
熔	fjcr
熙	suf
煽	fhsm
熊	ipf
熄	fhup
熟	yif
熬	gkf
熱	gif
熨	sif
熾	fyia
燉	fydk
燐	ffdq
燒	fggu
燈	fnot
燕	tlpf
熹	grtf
燎	fkcf
燙	ehf
燜	fanp
燃	fbkf
燄	nxff
燧	fyto
營	ffbrr
燮	ffe
燦	fyed
燥	frrd
燭	fwli
燬	fhge
燴	foma
燻	fhgf
爆	fate
爍	fvid
爐	fypt
爛	fanw
爨	hbddf
爪	hlo
爬	hoau
爭	bsd
爰	bmke
爵	bwli
父	ck
爸	ckau
爹	cknin
爺	cksjl
爻	kk
爽	kkkk
爾	mfbk
牆	vmgow
片	llml
版	llhe
牌	llhwj
牒	llptd
牖	llhsb
牘	llgwc
牙	mvdh
牛	hq
牟	ihq
牝	hqp
牢	jhq
牡	hqg
牠	hqpd
牧	hqok
物	hqphh
牲	hqhqm
牯	hqjr
牴	hqhpm
特	hqgdi
牽	yvbq
犁	hnhq
犄	hqkmr
犀	sehq
犒	hqyrb
犖	ffbhq
犛	jkmhq
犢	hqgwc
犧	hqtgs
犬	ik
犯	khsu
狄	khf
狂	khmg
狀	vmik
狎	khwl
狙	khbm
狗	khpr
狐	khhvo
狩	khjdi
狠	khav
狡	khyck
狼	khiav
狹	khkoo
狽	khbuc
狸	khwg
狷	khrb
猜	khqmb
猛	khndt
猖	khaa
猓	khwd
猙	khbsd
猶	khtcw
猥	khwmv
猴	khonk
猩	khahm
猷	twik
獅	khhrb
猿	khgrv
猾	khbbb
獄	khyrk
獐	khytj
獎	viik
獗	khmto
獨	khwli
獰	khjpn
獲	khtoe
獷	khitc
獵	khvvv
獸	rrik
獺	khdlc
獻	ybik
玀	khwlg
玄	yvi
率	yioj
王	mg
玉	mgi
玖	mgno
玩	mgmmu
玨	mgmg
玟	mgyk
玫	mgok
玷	mgyr
珊	mgbt
玻	mgdhe
玲	mgoii
珍	mgohh
珀	mgha
玳	mgoip
班	mgilg
琉	mgyiu
珮	mghnb
珠	mghjd
琅	mgiav
琊	mgmhl
球	mgije
理	mgwg
現	mgbuu
琍	mghdn
琺	mgegi
琪	mgtmc
琳	mgdd
琢	mgmso
琥	mgypu
琵	mgpp
琶	mgau
琴	mgoin
瑯	mgiil
瑚	mgjrb
瑕	mgrse
瑟	mgph
瑞	mgumb
瑁	mgabu
琿	mgbjj
瑙	mgvvw
瑛	mgtlk
瑜	mgomn
瑤	mgbou
瑣	mgfbc
瑪	mgsqf
瑰	mghui
瑩	ffbmi
璋	mgytj
璃	mgyub
璜	mgtlc
璣	mgvii
璩	mgypo
環	mgwlv
璦	mgbbe
璧	sjmgi
璽	mbmgi
瓊	mgnbe
瓏	mgybp
瓜	hvio
瓠	kshvo
瓢	mfhvo
瓣	yjhoj
瓦	mvni
瓶	ttmvn
瓷	momvn
甄	mgmvn
甌	srmvn
甕	yvgn
甘	tm
甚	tmmv
甜	hrtm
生	hqm
產	ykmhm
甥	hmwks
甦	mkhqm
用	bq
甩	bqu
甬	nibq
甫	ijb
甭	mfbq
田	w
由	lw
甲	wl
申	lwl
男	wks
甸	pw
甽	wlll
畏	wmv
界	woll
畔	wfq
畝	ywno
畜	yviw
畚	ikw
留	hhw
略	wher
畦	wgg
畢	wtj
異	wtc
畫	lgwm
番	hdw
當	fbrw
畸	wkmr
疇	wgni
疆	ngmwm
疊	wwwm
疋	nyo
疏	nmyiu
疑	pknio
疝	ku
疙	kon
疚	kno
疫	khne
疤	kau
疥	koll
疾	kok
病	kmob
症	kmym
疲	kdhe
疳	ktm
疽	kbm
疼	khey
疹	kohh
痊	komg
痔	kgdi
痕	kav
疵	kymp
痢	khdn
痛	knib
痣	kgp
痙	kmvm
痘	kmrt
痞	kmfr
瘀	kysy
痰	kff
瘁	kyoj
痲	kjcc
痱	klmy
痺	khwj
痿	khdv
痴	kokr
瘧	kypm
瘍	kamh
瘋	khni
瘉	komn
瘓	knbk
瘠	kfcb
瘩	ktor
瘟	kwot
瘤	khhw
瘦	khxe
瘡	koir
瘴	kytj
瘸	kkrb
癆	kffs
療	kkcf
癌	krru
癖	ksrj
癘	ktwb
癒	komp
癢	ktov
癥	khok
癩	kdlc
癮	knlp
癬	knfq
癱	ktog
癲	kjcc
癸	nomk
登	nomrt
發	nonhe
白	ha
百	ma
皂	hap
的	hapi
皆	ppha
皇	hamg
皈	hahe
皎	hayck
皖	hajmu
皓	hahgr
皚	haumt
皮	dhe
皰	depru
皴	iedhe
皺	pudhe
皿	bt
盂	mdbt
盈	nsbt
盆	csht
盃	mfbt
益	tcbt
盍	gibt
盎	lkbt
盔	kfbt
盒	orbt
盛	isbt
盜	eobt
盞	iibt
盟	abbt
盡	lmfbt
監	smbt
盤	hebt
盧	ypwbt
盥	hxbt
盪	ehbt
目	bu
盯	bumn
盲	yvbu
直	jbmm
省	fhbu
盹	bupu
相	dbu
眉	ahbu
看	hqbu
盾	hjbu
盼	bucsh
眩	buyvi
真	jbmc
眠	burvp
眨	buhio
眷	fqbu
眾	wlooo
眼	buav
眶	busmg
眸	buihq
眺	bulmo
睏	buwd
睛	buqmb
睫	bujlo
睦	bugcg
睞	budoo
督	yebu
睹	bujka
睪	wlgtj
睬	bubd
睜	bubsd
睥	buhwj
睨	buhxu
瞄	butw
睽	bunok
睿	ybmcu
睡	buhjm
瞎	bujqr
瞇	buyfd
瞌	bugit
瞑	bubac
瞠	bufbg
瞞	butlb
瞟	bumwf
瞥	fkbu
瞳	buytg
瞪	bunot
瞰	bumjk
瞬	bubbq
瞧	buogf
瞭	bukcf
瞽	gebu
瞿	buog
瞻	buncr
矇	butbo
矓	buybp
矗	jmjmm
矚	busei
矛	ninh
矜	nhoin
矢	ok
矣	iok
知	okr
矩	okss
短	okmrt
矮	okhdv
矯	okhkb
石	mr
矽	mrni
砂	mrfh
研	mrmt
砌	mrpsh
砍	mrno
砰	mrmfj
砧	mryr
砸	mrslb
砝	mrgi
破	mrdhe
砷	mrlwl
砥	mrhpm
砭	mrhio
硫	mryiu
硃	mrhjd
硝	mrfb
硬	mrmlk
硯	mrbuu
碎	mryoj
碰	mrttc
碗	mrjnu
碘	mrtbc
碌	mrvne
碉	mrbgr
硼	mrbb
碑	mrhwj
磁	mrtvi
碟	mrptd
碧	mamr
碳	mrumf
碩	mrmbc
磋	mrtqm
磅	mrybs
確	mrobg
磊	mrmrr
碾	mrstv
磕	mrgit
碼	mrsqf
磐	hemr
磨	icmr
磚	mrjii
磬	gemr
磷	mrfdq
磺	mrtlc
磴	mrnot
磯	mrvii
礁	mrogf
礎	mrddo
礙	mrpko
礦	mritc
礪	mrmtb
礬	ddkmr
礫	mrvid
示	mmf
社	ifg
祀	ifru
祁	ifnl
祆	ifmk
祉	ifylm
祈	ifhml
祇	ifhvp
祕	ifph
祐	ifkr
祠	ifsmr
祟	uummf
祖	ifbm
神	iflwl
祝	ifrhu
祗	ifhpm
祚	ifos
祥	iftq
票	mwmmf
祭	bommf
祺	iftmc
祿	ifvne
禁	ddmmf
禎	ifybc
福	ifmrw
禍	ifbbr
禦	hlmmf
禧	ifgrr
禪	ifrrj
禮	iftwt
禱	ifgni
禹	hlbi
萬	twlb
禽	oyub
禾	hd
私	hdi
秀	hdnhs
禿	hdhu
秉	hdl
科	hdyj
秒	hdfh
秋	hdf
秤	hdmfj
秣	hddj
秧	hdlbk
租	hdbm
秦	qkhd
秩	hdhqo
移	hdnin
稍	hdfb
稈	hdamj
程	hdrhg
稅	hdcru
稀	hdkkb
稜	hdgce
稚	hdog
稠	hdbgr
稔	hdoip
稟	ywrd
種	hdhjg
稱	hdbgb
稿	hdyrb
稼	hdjmo
穀	gdhne
稽	hdiua
稷	hdwce
稻	hdbhx
積	hdqmc
穎	pdmbc
穆	hdhah
穌	nfhd
穗	hdjip
穡	hdgow
穢	hdymh
穫	hdtoe
穩	hdbmp
穴	jc
究	jckn
空	jcm
穹	jcn
穿	jcmvh
突	jcik
窄	jcos
窈	jcvis
窒	jcmig
窕	jclmo
窘	jcskr
窗	jchwk
窖	jchgr
窟	jcsuu
窠	jcwd
窪	jcegg
窩	jcbbr
窯	jctgf
窮	jchhn
窺	jcqou
竄	jchxv
竅	jchsk
竇	jcgwc
竊	jchdb
立	yt
站	ytyr
童	ytwg
竣	ytice
竭	ytapv
端	ytumb
競	yuytu
竹	h
竺	hmm
竿	hmj
竽	hmd
笆	hau
笑	hhk
笠	hyt
笨	hdm
笛	hlw
第	hnlh
符	hodi
笙	hhqm
笞	hir
等	hgdi
策	hdb
筆	hlq
筐	hsmg
筒	hbmr
答	homr
筍	hpa
筋	hbks
筏	hoi
筷	hpdk
節	hail
筠	hgpm
管	hjrr
箕	htmc
箋	hii
筵	hnkm
算	hbut
箝	hqtm
箔	heha
箏	hbsd
箭	htbn
箱	hdbu
範	hjju
箴	hihr
篆	hvno
篇	hhsb
篁	hhag
篙	hyrb
簑	hywv
築	hmnd
篤	hsqf
篛	hnmm
篡	hbui
篩	hhrb
簇	hysk
簍	hllv
篾	hwli
篷	hyhj
簫	hlx
簧	htlc
簪	hmua
簞	hrrj
簣	hlmc
簡	hana
簾	hitc
簿	heii
簸	htce
簽	homo
簷	hncr
籌	hgni
籃	hsmt
籍	hqda
籐	hbfe
籠	hybp
籟	hdlc
籤	hoim
籬	hybg
籮	hwlg
籲	hobc
米	fd
粉	fdcsh
粒	fdyt
粗	fdbm
粟	mwfd
粥	nfdn
粱	eifd
粳	fdmlk
粵	hwmvs
粹	fdyoj
粽	fdjmf
精	fdqmb
糊	fdjrb
糕	fdtgf
糖	fdilr
糠	fdile
糜	icfd
糞	fdwtc
糢	fdtak
糟	fdtwa
糙	fdyhr
糧	fdamg
糯	fdmbb
糸	vif
系	hvif
糾	vfvl
紂	vfdi
紅	vfm
紀	vfsu
紉	vfshi
紇	vfon
約	vfpm
紡	vfyhs
紗	vffh
紋	vfyk
紊	ykvif
素	qmvif
索	jbvif
純	vfpu
紐	vfng
紕	vfpp
級	vfnhe
紜	vfmmi
納	vfob
紙	vfhvp
紛	vfcsh
絆	vffq
絃	vfyvi
統	vfyiu
紮	duvif
紹	vfshr
紼	vflln
絀	vfuu
細	vfw
紳	vflwl
組	vfbm
累	wvif
終	vfhey
絞	vfyck
結	vfgr
絨	vfij
絕	vfshu
紫	ypvif
絮	vrvif
絲	vfvif
絡	vfher
給	vfomr
絢	vfpa
經	vfmvm
絹	vfrb
綑	vfwd
綁	vfqjl
綏	vfbv
綻	vfjmo
綰	vfjrr
綜	vfjmf
綽	vfyaj
綾	vfgce
綠	vfvne
緊	sevif
綴	vfeee
網	vfbtv
綱	vfbtu
綺	vfkmr
綢	vfbgr
綿	vfhab
綵	vfbd
綸	vfomb
維	vfog
緒	vfjka
緇	vfvvw
締	vfybb
練	vfdwf
緯	vfdmq
緻	vfmgk
緘	vfihr
緬	vfmwl
緝	vfrsj
編	vfhsb
緣	vfvno
線	vfhae
緞	vfhje
緩	vfbme
綞	vfhjm
縊	vftct
縑	vftxc
縈	ffbvf
縛	vfibi
縣	bfhvf
縮	vfjoa
績	vfqmc
繆	vfsmh
縷	vfllv
縲	vfwvf
繃	vfubb
縫	vfyhj
總	vfhwp
縱	vfhoo
繅	vfvvd
繁	okvif
織	vfyia
繕	vftgr
繞	vfggu
繚	vfkcf
繡	vflx
繫	jevif
繭	tbli
繹	vfwlj
繩	vfrxu
繪	vfoma
辮	yjvfj
繽	vfjmc
繼	vfvvi
纂	hbuf
纏	vfiwg
續	vfgwc
纓	vfbcv
纖	vfoim
纜	vfswu
缶	oju
缸	oum
缺	oudk
缽	oudm
罄	geoju
罈	oumwj
罐	outrg
罕	bcmj
罔	btyv
罟	wljr
置	wljbm
罩	wlyaj
罪	wllmy
署	wljka
罰	wlyrn
罵	wlsqf
罷	wlibp
罹	wlpog
羅	wlvfg
羈	wltjf
羊	tq
羌	tghu
羋	tlq
美	tgk
羔	tgf
羞	tqng
羚	tqoii
善	tgtr
義	tghqi
羨	tgeno
群	srtq
羯	tqapv
羲	tghds
羶	tqywm
羹	tgftk
羸	yntq
羽	smsim
羿	smt
翅	jesmm
翁	cism
翌	smyt
翎	oismm
習	smha
翔	tqsmm
翕	orsmm
翠	smyoj
翡	lysmm
翟	smog
翩	hbsmm
翰	jjosm
翱	hjsmm
翳	sesmm
翼	smwtc
翹	gusmm
翻	hwsmm
耀	fusmg
老	jkp
考	jkys
者	jka
耆	jpa
而	mbll
耐	mbdi
耍	mbv
耒	qd
耘	qdmmi
耕	qdtt
耙	qdau
耗	qdhqu
耜	qdrlr
耳	sj
耶	sjnl
耽	sjlbu
耿	sjf
聊	sjhhl
聆	sjoii
聖	srhg
聘	sjlws
聞	ansj
聚	seooo
聱	gksj
聲	gesj
聰	sjhwp
聯	sjvit
聳	hosj
職	sjyia
聶	sjsjj
聾	ypsj
聽	sgjwp
聿	lq
肆	silq
肄	pklq
肅	lx
肇	hklq
肉	obo
肋	bks
肌	bhn
肖	fb
肓	yvb
肝	bmj
肘	bdi
肛	bm
肚	bg
育	yib
肺	bylb
肥	bau
肢	bje
肱	bki
股	bhne
肫	bpu
肩	hsb
肴	kkb
肪	byhs
肯	ymb
胖	bfq
胥	nob
胚	bmfm
胃	wb
胄	lwb
背	lpb
胡	jrb
胛	bwl
胎	bir
胞	bpru
胤	lvbu
胱	bfmu
脂	bpa
胰	bkn
脅	ksksb
胭	bwk
胴	bbmr
脆	bnmu
胸	bpuk
胳	bher
脈	bhhv
能	ibpp
脊	fcb
脯	bijb
脖	bjbd
脣	mvb
脫	bcru
脩	olob
腕	bjnu
腔	bjcm
腋	byok
腑	bioi
腎	seb
脹	bsmv
腆	btbc
脾	bhwj
腐	ioib
腱	bnkq
腰	bmwv
腸	bamh
腥	bahm
腮	bwp
腳	bcrl
腫	bhjg
腹	boae
腺	bhae
腦	bvvw
膀	bybs
膏	yrbb
膈	bmrb
膊	bibi
腿	byav
膛	bfbg
膜	btak
膝	bdoe
膠	bsmh
膚	ypwb
膳	btgr
膩	bipc
膨	bgth
臆	bytp
臃	byvg
膺	iogb
臂	sjb
臀	seb
膿	btwv
膽	bncr
臉	bomo
膾	boma
臍	byx
臏	bjmc
臘	bvvv
臚	bypt
臟	btis
臣	slsl
臥	slo
臧	imsll
臨	slorr
自	hbu
臭	huik
臬	hud
至	mig
致	mgok
臺	grbg
臻	mgqkd
臼	hx
臾	hxo
舀	bhx
舂	qkhx
舅	hxwks
與	hxyc
興	hxbc
舉	hcq
舊	togx
舌	hjr
舍	omjr
舐	hrhvp
舒	ornin
舔	hrhkp
舛	niq
舜	bbnq
舞	otniq
舟	hbyi
舢	hyu
航	hyyhn
舫	hyyhs
舨	hyhe
般	hyhne
舵	hyjp
舷	hyyvi
舶	hyha
船	hycr
艇	hynkg
艘	hyhxe
艙	hyoir
艦	hysmt
艮	av
良	iav
艱	toav
色	nau
艾	tk
芒	tyv
芋	tmd
芍	tpm
芳	tyhs
芝	tino
芙	tqo
芭	tau
芽	tmvh
芟	thne
芹	thml
花	top
芬	tcsh
芥	toll
芻	pupu
苧	tjmn
范	tesu
茅	tnih
苣	tss
苛	tmnr
苦	tjr
茄	tksr
若	tkr
茂	tih
茉	tdj
苒	tgb
苗	tw
英	tlbk
茁	tuu
苜	tbu
苔	tir
苑	tniu
苞	tpru
苓	toii
苟	tpr
茫	teyv
荒	tyvu
荔	tkss
荊	tmtn
茸	tsj
荐	tkld
草	taj
茵	twk
茴	twr
荏	tohg
茲	tvii
茹	tvr
茶	tod
茗	tnir
荀	tpa
茱	thjd
莎	tefh
莞	tjmu
莘	tytj
荸	tjbd
莢	tkoo
莖	tmvm
莽	tikt
莫	tak
莒	trhr
莊	tvmg
莓	towy
莉	thdn
莠	thds
荷	tomr
荻	tkhf
荼	tomd
菩	tytr
萃	tyoj
菸	tysy
萍	temj
菠	tede
菅	tjrr
萋	tjlv
菁	tqmb
華	tmtj
菱	tgce
菴	tklu
著	tjka
萊	tdoo
菰	tndo
萌	tab
菌	twhd
菽	tyfe
菲	tlmy
菊	tpfd
萸	thxo
萎	thdv
萄	tpou
菜	tbd
蒂	tybb
葷	tbjj
落	tehr
萱	tjmm
葵	tnok
葦	tdmq
葫	tjrb
葉	tptd
葬	tmpt
葛	tapv
萼	trrs
萵	tbbr
葡	tpib
董	thjg
葩	thau
蓉	tjcr
蒿	tyrb
蓆	titb
蓄	tyvw
蒙	tbmo
蒞	teot
蒲	teib
蒜	tmff
蓋	tgit
蒸	tnef
蓀	tndf
蓓	toyr
蒐	thui
蒼	toir
蔗	titf
蔽	tfbk
蔚	tsfi
蓮	tyjj
蔬	tnmu
蔭	tnli
蔓	tawe
蔑	twli
蔣	tvmi
蔡	tbof
蔔	tpmw
蓬	tyhj
蔥	thwp
蓿	tjoa
蕊	tppp
蕙	tjip
蕈	tmwj
蕨	tmto
蕩	teah
蕃	thdw
蕉	togf
蕭	tlx
蕪	totf
薪	tydl
薄	teii
蕾	tmbw
薜	tsrj
薑	tmwm
薔	tgow
薯	twla
薛	thrj
薇	thok
藏	tims
薩	tnlm
藍	tsmt
藐	tbhu
藉	tqda
薰	thgf
藩	tehw
藝	tgii
藪	tlvk
藕	tqdb
藤	tbfe
藥	tvid
藻	terd
藹	tyrv
蘑	ticr
藺	tang
蘆	typt
蘋	tyhc
蘇	tnfd
蘊	tvft
蘗	tsjd
蘭	tanw
蘚	tnfq
蘸	tmgf
蘿	twlg
虎	yphu
虐	ypsm
虔	ypyk
處	yphen
彪	yuhhh
虛	yptm
虜	ypwks
虞	yprvk
號	rsypu
虧	ygmms
虫	lmi
虱	nhli
虹	lim
蚊	liyk
蚪	liyj
蚓	linl
蚤	eilmi
蚩	umli
蚌	liqj
蚣	lici
蛇	lijp
蛀	liyg
蚶	litm
蛄	lijr
蚵	limnr
蛆	libm
蛋	nolmi
蚱	lios
蚯	liom
蛟	liyck
蛙	ligg
蛭	limig
蛔	liwr
蛛	lihjd
蛤	liomr
蛹	linib
蜓	linkg
蜈	lirvk
蜇	qllmi
蜀	wlpli
蛾	lihqi
蛻	licru
蜂	lihej
蜃	mvlmi
蜿	lijnu
蜜	jphi
蜻	liqmb
蜢	lindt
蜥	lidhl
蜴	liaph
蜘	liokr
蝕	oilmi
螂	liiil
蝴	lijrb
蝶	liptd
蝠	limrw
蝦	lirse
蝸	libbr
蝨	njlii
蝙	lihsb
蝗	lihag
蝌	lihdj
螃	liybs
螟	libac
螞	lisqf
螢	ffbli
融	mblmi
蟀	liyij
蟑	liytj
螳	lifbg
蟒	litit
蟆	litak
螫	gklmi
螻	lillv
螺	liwvf
蟈	liwim
蟋	lihdp
蟯	liggu
蟬	lirrj
蟲	lilii
蟻	litgi
蠅	lirxu
蠍	liavo
蟹	nqlmi
蠔	liyro
蠕	limbb
蠣	limtb
蠢	qalii
蠡	volii
蠟	livvv
蠱	lilit
蠶	muali
蠹	jbmri
蠻	vflmi
血	hbt
行	hommn
衍	hoemn
術	hoicn
街	hoggn
衙	homrn
衛	hodqn
衝	hohgn
衡	honkn
衢	hobgn
衣	yhv
初	lsh
表	qmv
衫	lhhh
衰	ywmv
衷	jlhv
袁	grhv
袂	ldk
袞	ycrhv
袈	kryhv
被	ldhe
袒	lam
袖	llw
袍	lpru
袋	opyhv
裁	jiyhv
裂	mnyhv
袱	loik
裟	ehyhv
裔	yvbcr
裙	lskr
補	lijb
裘	ieyhv
裝	vgyhv
裡	lwg
裊	hayv
裕	lcor
裳	fbryv
褂	lggy
裴	lyyhv
裹	ywdv
裸	lwd
製	hnyhv
裨	lhwj
褚	ljka
褐	lapv
複	loae
褒	yodv
褓	lord
褪	lyav
褲	lijj
褥	lmvi
褫	lhyu
褻	ygiv
褶	lsma
襄	yrrv
褸	lllv
襠	lfbw
襟	lddf
襖	lhbk
襤	lsmt
襪	ltwi
襲	ypyhv
襯	lydu
西	mcw
要	mwv
覃	mwaj
覆	mwhoe
見	buhu
覓	bbuu
規	qobuu
視	ifbuu
親	ydbuu
覦	onbuu
覬	utbuu
覲	tmbuu
覺	hbbuu
覽	swbuu
觀	tgbuu
角	nbg
解	nbshq
觴	nboah
觸	nbwli
言	ymmr
計	yrj
訂	yrmn
訃	yry
記	yrsu
訐	yrmj
討	yrdi
訌	yrm
訕	yru
訊	yrnj
託	yrhp
訓	yrlll
訖	yron
訪	yryhs
訝	yrmvh
訣	yrdk
訥	yrob
許	yroj
設	yrhne
訟	yrci
訛	yrop
註	yryg
詠	yrine
評	yrmfj
詞	yrsmr
証	yrmym
詁	yrjr
詔	yrshr
詛	yrbm
詐	yros
詆	yrhpm
訴	yrhmy
診	yrohh
詫	yrjhp
該	yryvo
詳	yrtq
試	yripm
詩	yrgdi
詰	yrgr
誇	yrkms
詼	yrkf
詣	yrpa
誠	yrihs
話	yrhjr
誅	yrhjd
詭	yrnmu
詢	yrpa
詮	yromg
詬	yrhmr
詹	ncymr
誦	yrnib
誌	yrgp
語	yrmmr
誣	yrmoo
認	yrsip
誡	yrit
誓	qlymr
誤	yrrvk
說	yrcru
誥	yrhgr
誨	yrowy
誘	yrhds
誑	yrkhg
誼	yrjbm
諒	yryrf
談	yrff
諄	yryrd
誕	yrnkm
請	yrqmb
諸	yrjka
課	yrwd
諉	yrhdv
諂	yrnhx
調	yrbgr
誰	yrog
論	yromb
諍	yrbsd
諦	yrybb
諺	yrykh
諫	yrdwf
諱	yrdmq
謀	yrtmd
諜	yrptd
諧	yrppa
諮	yrmor
諾	yrtkr
謁	yrapv
謂	yrwb
諷	yrhni
諭	yromn
謎	yryfd
謗	yrybs
謙	yrtxc
講	yrttb
謊	yrtyu
謠	yrbou
謝	yrhhi
謄	bfqr
謨	yrtak
謹	yrtlm
謬	yrsmh
譁	yrtmj
譜	yrtca
識	yryia
證	yrnot
譚	yrmwj
譎	yrnhb
譏	yrvii
議	yrtgi
譬	sjymr
警	tkymr
譯	yrwlj
譴	yrylr
護	yrtoe
譽	hcymr
讀	yrgwc
變	vfok
讓	yryrv
讒	yrnri
讖	yroim
讚	yrhuc
谷	cor
豁	jrcor
谿	bkcor
豆	mrt
豈	umrt
豉	mtje
豌	mtjnu
豎	semrt
豐	ujmrt
豔	utgit
豕	msho
豚	bmso
象	napo
豢	fqmso
豪	yrbo
豬	mojka
豫	nnnao
豺	bhdh
豹	bhpi
貂	bhshr
貊	bhma
貉	bhher
貍	bhwg
貌	bhhau
貓	bhtw
貝	buc
貞	ybuc
負	nbuc
財	bcdh
貢	mbuc
販	bche
責	qmbuc
貫	wjbuc
貨	opbuc
貪	oinc
